config_name,trial,seed,lambda_weight,lambda_delta,final_loss,best_loss,train_time,eval_loss,eval_loss_delta,mean_cosine,std_cosine,min_cosine,max_cosine
multitask,0,42,1.0,0.1,0.00019379954028408974,0.00019296669051982462,1313.0617697238922,0.00021121772782256205,0.0021121772471815346,0.05374463728318612,0.22564083493091544,-0.44472354650497437,0.5430562496185303
multitask,1,123,1.0,0.1,0.00020387081895023584,0.0001959158544195816,1288.1177711486816,0.00021162247091221313,0.0021162246819585563,0.05193137526512146,0.2245589535354005,-0.4358792304992676,0.5342459678649902
multitask,2,456,1.0,0.1,0.00021486682817339897,0.0001986002316698432,1292.9686229228973,0.00021103222582799692,0.0021103222388774157,0.05457570403814316,0.22351123025528044,-0.4353356957435608,0.5542082190513611
multitask2,0,42,0.5,0.5,0.0009651185246184468,0.0009635252645239234,1290.7374935150146,0.0010523489909246564,0.0021046979818493128,0.05709533654153347,0.23473138930246884,-0.4464644491672516,0.5997445583343506
multitask2,1,123,0.5,0.5,0.0010075765894725919,0.0009689036523923278,1291.2978868484497,0.0010531513175616662,0.0021063026351233324,0.05637644218901793,0.23486028407735604,-0.4416004419326782,0.5505582094192505
multitask2,2,456,0.5,0.5,0.001054853550158441,0.0009730346500873566,1291.6322503089905,0.0010517688157657783,0.0021035376315315566,0.057615156099200246,0.22861742772835034,-0.4448990225791931,0.5954638123512268
delta_only,0,42,0.0,1.0,0.0019263129215687513,0.0019109181594103575,1292.955308675766,0.002097401022911072,0.002097401022911072,0.060364370420575145,0.24109928107575948,-0.46830499172210693,0.6004322171211243
delta_only,1,123,0.0,1.0,0.001998375868424773,0.0019189815502613783,1287.165049791336,0.0021077013884981473,0.0021077013884981473,0.05574981117000182,0.23260158117555282,-0.4467046856880188,0.5404930710792542
delta_only,2,456,0.0,1.0,0.0021189481485635042,0.0019640407990664244,1292.4518172740936,0.0021025228469322126,0.0021025228469322126,0.05806975789989034,0.23443899136907428,-0.4424916207790375,0.5951781868934631
weight_only,0,42,1.0,0.0,0.0,0.0,1284.474148273468,0.0,0.0022397706595559913,-0.0034172299318015577,0.09605275251692484,-0.15015153586864471,0.22448164224624634
weight_only,1,123,1.0,0.0,0.0,0.0,1285.3997542858124,0.0,0.0022377193594972293,-0.002498236515869697,0.09214566912511285,-0.1659424602985382,0.24266928434371948
weight_only,2,456,1.0,0.0,0.0,0.0,1287.409386396408,0.0,0.0021994265882919234,0.014656896671901147,0.10141387971155943,-0.1988832652568817,0.30538904666900635
